,CID,f1_mass_PC1,f2_lipophilicity_PC1,f3_lipophilicity_extended_PC1,f3_lipophilicity_extended_PC2,f3_lipophilicity_extended_PC3,f3_lipophilicity_extended_PC4,f4_volume_PC1,f5_volume_PC1,f6_volume_PC1,f7_surface_shape_Mor_PC1,f7_surface_shape_Mor_PC2,f7_surface_shape_Mor_PC3,f7_surface_shape_Mor_PC4,f7_surface_shape_Mor_PC5,f7_surface_shape_Mor_PC6,f7_surface_shape_Mor_PC7,f8_surface_shape_RDF_PC1,f8_surface_shape_RDF_PC2,f8_surface_shape_RDF_PC3,f8_surface_shape_RDF_PC4,f8_surface_shape_RDF_PC5,f8_surface_shape_RDF_PC6,f8_surface_shape_RDF_PC7,f8_surface_shape_RDF_PC8,f9_whim_PC1,f9_whim_PC2,f9_whim_PC3,f9_whim_PC4,f10_geometry_topology_PC1,f10_geometry_topology_PC2,f10_geometry_topology_PC3,f10_geometry_topology_PC4,f10_geometry_topology_PC5,f10_geometry_topology_PC6,f10_geometry_topology_PC7,f10_geometry_topology_PC8,f11_spatial_autocorrelation_PC1,f11_spatial_autocorrelation_PC2,f11_spatial_autocorrelation_PC3,f11_spatial_autocorrelation_PC4,f11_spatial_autocorrelation_PC5,f11_spatial_autocorrelation_PC6,f11_spatial_autocorrelation_PC7,f11_spatial_autocorrelation_PC8,f12_polarity_PC1,f13_p_vsa_logp_PC1,f13_p_vsa_logp_PC2,f13_p_vsa_logp_PC3,f13_p_vsa_logp_PC4,f13_p_vsa_logp_PC5,f14_spdiam_PC1,f14_spdiam_PC2,f14_spdiam_PC3,f14_spdiam_PC4
236,234237,0.8906985463976549,-0.48389123073634177,-1.083945156247595,0.015829473652593313,0.150800007514898,0.002214971214174079,0.9003015339257552,0.9201644120589441,0.7584442886321714,-8.86805257070356,2.2028975925033127,8.285284662347514,2.2623827013528324,1.103707658376012,0.39519945185191463,-2.698217485766081,11.002561717031092,17.352005814848887,-4.284258805170553,-0.7187349248618016,1.2268423418497167,-7.47959325764471,2.9111769755326367,2.2952009663200283,1.5480141431318732,2.4569033535319837,0.06409258122173302,0.2650159116323694,8.114247457574834,18.624458453650487,5.33848970491771,5.463984331158708,-2.4189021563357036,-2.0245103530315,-2.45010271894135,-0.2764926656306656,2.770702724546331,1.5698869209594626,1.5682186217064416,-1.3481670570981379,1.4543936519578953,0.33655455783461713,-1.183471500757469,0.4833868081754774,-1.3170812606932034,0.7099878518927886,-0.20658724356718663,0.734288491923703,0.8717109322132609,0.682144526226433,-0.578486459821846,1.3616197874920866,1.2237388117124328,0.013742854188013543
237,235414,1.950509260378324,1.2602176301891697,4.431346921664816,1.8663729907137439,-0.4291252370786545,0.2654893193828906,2.125642905640299,2.099296479064572,2.0848889390251104,-16.853586781649824,6.499775288646485,-0.6805945514478243,0.20152461277084566,1.1438592918488133,-12.850102923932786,3.4423253003460776,17.564259481540414,-10.20829208387662,5.198662155988205,-1.6832944803316592,0.6641492086173985,1.8203027806042025,-3.5403012665811264,3.8134499439947946,3.220121513680106,-1.3741695922446584,-1.697374583692658,-0.6638790366956933,25.97274672467643,-7.450451900697708,1.1247994745306258,-1.1038843371554272,4.445773169115413,0.6087683212498034,4.504478224567078,-2.7419624574679227,4.482230996868796,0.536559282961953,1.2197567684457764,-1.0179592860825712,0.23165588274282,-0.22734837464318156,-0.23400946345486798,-0.14072177167465907,0.5411996069831286,3.460773169039883,0.7110932056898029,1.5214448476294853,0.9671436359054109,0.17031626785835088,-0.6442457971767492,1.5129908991076295,1.438279095680646,-0.14057361683033096
238,240122,-0.0024910080884161783,0.022555673177757175,-0.10608394440008145,0.004436523746234846,0.17881001686781908,-0.0011360033508608337,-0.031364856896011414,-0.06068696605166901,-0.047344940007682045,0.14175901603601362,-0.9752754889544006,-0.4755066271730162,-0.6282878344470514,0.07008753978702742,-0.32298243592220605,0.15377913980417532,-2.63420557460085,-1.6292126312215656,0.7817561326451938,-0.27072017372712676,0.00962765900556011,-0.0655426834206797,-0.807686498744115,0.3145706017830602,-0.1667328842453174,-0.09423343203965669,0.07791603867079522,0.11011695070406005,-1.2785489060638926,-1.2465107910904205,-1.1412188807692518,-2.0985945548436415,0.6995605142454817,-0.23236187886356102,0.6946777871730572,-0.694363037032784,0.48334242433609376,-0.010520066460427498,-0.24020275990781167,0.07972112898403096,0.004888207253657605,-0.2236648006669138,-0.14458781870873832,-0.07814110816367525,0.04263644736264864,-0.08066321899368406,0.35675875548508956,0.08224273442952354,-0.2834538170174974,0.024516025620551506,-0.10804047721341503,0.2121504897771288,-0.2531749696517813,-0.1381002749229652
239,249494,0.11155686401973967,-0.6241557535002924,-1.501194164631305,-0.13507334795188208,0.0883158067505447,0.04148936122504024,0.4160512019927534,0.34470869985744557,0.29094478690099795,-7.840842962088841,1.1490174529561181,-1.242337892906016,1.648647642636677,0.17035383802840762,-2.1241824666758946,-4.832888237332755,5.933879190438724,-4.204563006527688,0.9641931127341775,0.4780608754035372,-1.518055969942714,1.5448365095002983,-2.13317414460385,2.812477286758527,0.6174260339007885,-0.35485311683381693,0.25683065127180915,0.05596529332717499,8.279846359104992,-1.2167055167832859,1.6905860253921206,-4.868387136208663,0.9252261091189364,2.0326434607522725,3.132544623911175,0.643516150250299,0.004325356518716053,5.459619590262784,0.9126011586644447,1.2021409760408261,0.7287382824866794,0.8472929203280534,0.21657730024805513,-0.4254178520739935,-2.2915456181332328,-0.1730772664245433,-3.007640077789788,-0.10668477526251657,0.6373506794322791,0.8587221737605161,0.2903683039026197,0.4680859735869815,-0.21203275450473832,0.8300901464442924
240,439570,-0.558265760459381,-0.4643461742856275,-0.9807553523851443,0.08075815608177804,0.1652446078662517,-0.009409695876438582,-0.5000821168424172,-0.3686600657586544,-0.47831678387764465,1.7119004158529685,-5.7101854147826225,-4.256613943068038,-1.873638594887906,-2.245421410146225,2.7455922545379274,3.868455760879022,-4.302873453595007,-2.1699118093764542,1.1491036579539267,-0.8825941152142017,1.1199488097284054,-0.28461903295670005,0.8546193421178758,-1.2010299221117156,-0.9053734034167311,-0.6003890070694247,0.8126583052532814,0.06832662386687766,-5.582399088835489,-5.289175076893117,-4.054925620269179,4.57326885401034,-2.258478571363855,1.7637163962515454,0.5347508806238898,1.19242520050327,-2.621236355375692,0.7444590641957735,-3.7197503123980975,-0.7812660856535534,-2.848892932644858,0.7358811015250281,-3.1889884469147414,-2.6685972389938724,0.699833339589645,0.7929949984346604,0.3944571799730459,-0.12936714633557722,0.5429478960242289,-0.9894517048788944,0.12416463546499289,-0.3525877614058576,-0.9745474008071893,-0.25613297585974903
241,440968,-0.0024910080884161783,0.022555673177757175,-0.10608394440008145,0.004436523746234846,0.17881001686781908,-0.0011360033508608337,-0.031364856896011414,-0.06068696605166901,-0.047344940007682045,0.14175901603601362,-0.9752754889544006,-0.4755066271730162,-0.6282878344470514,0.07008753978702742,-0.32298243592220605,0.15377913980417532,-2.63420557460085,-1.6292126312215656,0.7817561326451938,-0.27072017372712676,0.00962765900556011,-0.0655426834206797,-0.807686498744115,0.3145706017830602,-0.1667328842453174,-0.09423343203965669,0.07791603867079522,0.11011695070406005,-1.2785489060638926,-1.2465107910904205,-1.1412188807692518,-2.0985945548436415,0.6995605142454817,-0.23236187886356102,0.6946777871730572,-0.694363037032784,0.48334242433609376,-0.010520066460427498,-0.24020275990781167,0.07972112898403096,0.004888207253657605,-0.2236648006669138,-0.14458781870873832,-0.07814110816367525,0.04263644736264864,-0.08066321899368406,0.35675875548508956,0.08224273442952354,-0.2834538170174974,0.024516025620551506,-0.10804047721341503,0.2121504897771288,-0.2531749696517813,-0.1381002749229652
242,517827,0.5563435652415485,0.8532205723331174,1.7413806317194456,0.05574238510863422,0.025912353439129093,-0.007015456444630832,0.6739365316415608,0.5726824127082741,0.6267811636548203,1.4625291691221143,4.280063695830666,3.3399596212561242,-2.8426455248717972,-1.428122478028388,-0.4174330453208011,2.1803677707362965,5.491834445176441,0.42588402459960417,-3.5211384494563203,2.6900555724727173,-2.9724834827704485,0.7385298792141219,0.3427360426622064,-3.431863455141916,0.48819826110555514,0.5749822791447188,0.5508417182275498,0.18853031470992612,5.806133534876374,1.823640925943986,1.5889765847142785,-0.5847372613741691,-3.956958708154646,3.6657671332561153,0.6076718878496841,2.8344723467648323,0.732351172143444,-0.4591553581465015,-2.3350036524346467,0.2625994957935163,-0.5764597521520761,-0.672135843314515,1.5361457021181213,0.3855877961404892,0.5865235305849904,-0.6900796882290487,0.2593236367865339,-0.8986537341136446,-0.09218633448796311,1.0414597731124173,0.5311622638006167,0.7608860771592598,0.1499768385254629,-0.25829846091813347
243,519382,0.668722444099341,0.6175301857215618,1.0273420812302798,-0.12901750881062596,0.09486995703521614,-0.005495771458429137,0.9398609073185185,0.9697345842826981,0.9140957262347957,-11.842198572569641,-1.601500224274805,-3.280140608841031,-3.2857981525543654,-2.3091784896630037,1.7824212847791372,-0.6291662000146003,4.28154990943879,-5.461966592874431,3.0054139560184048,-1.8909025820845033,2.3061136477244264,-0.41016475525452173,0.7397900526274593,-1.7614207266349253,1.157903031768324,-0.7574651717748537,-0.12377763104647342,-0.10461097416253318,10.172556204316466,-6.137462918252058,-3.12416290913736,-0.42045347179570786,2.6656421656148592,-2.982100812206828,-0.8644755764302183,-2.1737987000320613,-2.9788631137068133,3.7975142656091125,-2.111801955893768,0.24628310007509796,-0.12704237694172876,-2.427547843477622,-1.811045486592753,4.08007096204803,0.24659410357102685,1.299535688926278,0.3635593426566888,-0.11500633012585107,-0.747327408422333,0.2167466997854934,1.7382029741790601,0.38109515291406065,-0.7887817046358163,0.2358517329256253
244,520506,-0.0024910080884161783,0.022555673177757175,-0.10608394440008145,0.004436523746234846,0.17881001686781908,-0.0011360033508608337,-0.031364856896011414,-0.06068696605166901,-0.047344940007682045,0.14175901603601362,-0.9752754889544006,-0.4755066271730162,-0.6282878344470514,0.07008753978702742,-0.32298243592220605,0.15377913980417532,-2.63420557460085,-1.6292126312215656,0.7817561326451938,-0.27072017372712676,0.00962765900556011,-0.0655426834206797,-0.807686498744115,0.3145706017830602,-0.1667328842453174,-0.09423343203965669,0.07791603867079522,0.11011695070406005,-1.2785489060638926,-1.2465107910904205,-1.1412188807692518,-2.0985945548436415,0.6995605142454817,-0.23236187886356102,0.6946777871730572,-0.694363037032784,0.48334242433609376,-0.010520066460427498,-0.24020275990781167,0.07972112898403096,0.004888207253657605,-0.2236648006669138,-0.14458781870873832,-0.07814110816367525,0.04263644736264864,-0.08066321899368406,0.35675875548508956,0.08224273442952354,-0.2834538170174974,0.024516025620551506,-0.10804047721341503,0.2121504897771288,-0.2531749696517813,-0.1381002749229652
245,522514,-0.4458868816015885,-0.22980549687705484,-0.7192164648370692,-0.10403034905768886,0.15915456064523262,0.0171220999392709,-0.23420315950460122,-0.2390905066787435,-0.19100222129766975,-1.7261368573477727,0.5374447302249074,-6.860336309299496,-0.9412185065558106,0.9416631969369578,1.429702161212084,-0.4198005871310412,-2.980374205328667,-3.5296553574300624,2.933208847210803,-2.629827922941736,3.6864914875234343,-2.1648503405644672,2.328489799705526,-1.4923794886875212,0.16963242662860403,-1.8653872609898159,1.1321159384868615,-0.3986699393440376,-0.841540541990254,-6.5458038449944285,-10.966227362174257,4.163634162953917,-2.7056272892194184,-1.6831735135995947,-2.7403118388110257,0.08107240892445697,-4.736424651914079,-0.05064816831720021,4.3002177030198885,1.9250395461467047,3.6346365658438375,2.4443293208132997,1.710447407962615,3.396112489637804,-0.5012506358596933,1.78882054816491,-0.7449051155590788,-0.20529452610498072,0.250750017290727,-1.04528926595081,1.1155502732944937,-0.47539205882839214,-1.5285180164226373,0.14705269243079513
