cid,boiling_point_c,vapor_pressure_mmhg,error
325,135.5,,
5318599,,,
61325,221.5,,
16741,139.5,0.01,
61523,155.0,,
8375,213.0,0.0075,
5368076,,,
12097,89.5,,
61293,101.5,,
61192,117.5,,
7820,196.0,0.3,
5355850,,,
7635,192.222,0.23,
16867,144.0,,
88454,73.5,,
61641,74.5,,
62089,,,
7707,97.5,,
30248,233.0,,
7144,221.5,,
16617,225.5,,
7193,261.5,,
107631,,,
5273469,229.0,1.0,
6202,,,
13357,,,
8697,221.5,0.03,
61527,62.0,,
12294,208.0,,
7658,238.0,,
5370101,,,
7800,270.0,,
445639,286.0,0.0,
7755,197.0,,
61054,220.0,,
8792,263.5,,
7981,174.5,,
5355855,,,
4284,285.0,0.002,
5372813,150.0,,
8314,176.5,,
6999975,,,
8158,254.5,0.0016,
1616260,,,
24114,,,
12613,190.5,,
5362830,,,
985,351.5,0.0,
61633,,,
5355853,,,
5363269,,,
2723816,,,
22230,,,
6328154,,,
14228,,,
6987,234.0,,
7151,209.0,0.27,
5369459,300.5,,
11005,326.2,0.0,
26808,,,
6438195,,,
162413,,,
61155,123.0,,
2346,242.5,,
11902,181.5,,
5319706,,,
12377,194.0,,
12580,232.5,,
78925,170.0,,
10448,89.5,,
21768,,,
7128,,,
7047,237.7,0.06,
26334,181.0,,
23642,99.0,,
14514,100.5,,
7590,228.0,0.06,
6850728,,,
12385,,,
7601,324.5,,
24838,105.0,,
6997,204.522,0.153,
8205,150.0,0.0005,
62240,,,
62572,172.5,,
9964606,,,
170833,217.0,,
75153,,,
175661,,,
61046,,,
92543,,,
1549778,,,
13436,310.0,,
85755,,,
114233,,,
61185,,,
13187,192.0,1.6,
61386,311.5,,
10722,200.5,1.0,
8500,224.0,0.22,
6438291,,,
95596,,,
61809,158.5,,
17092,,,
12329,109.5,,
8184,243.0,0.003,
12410118,,,
1060,,1.29,
81263,,,
89014,,,
5367785,,,
166450,250.5,,
31404,265.0,0.0052,
121232748,,,
94648,,,
62087,,,
27458,181.0,,
10364,237.5,,
5281162,71.0,,
8698,250.0,0.01,
5357002,,,
86799,,,
30771,222.0,,
8710,,,
6826,255.5,,
12777,,,
1616358,,,
7711,226.0,,
5366044,,,
3018907,,,
104721,70.0,,
13561,228.0,,
5365069,95.0,,
61151,254.5,,
61048,242.0,,
62654,,,
6999977,,,
5280450,229.5,0.0,
95266,,,
8712,195.0,0.816,
6943,213.0,,
66768,,,
6920,213.0,0.36,
103377,,,
3354132,176.0,,
27440,161.5,,
6057,,,
2682,334.0,0.0,
8122,214.0,,
83763,,,
119674,,,
5962,,5280000000.0,
33032,175.0,0.0,
61229,287.5,,
13204,111.0,,
118111,,,
91337,,,
74005,,,
162452,,,
27867,227.0,0.05,
112226,,,
16872,198.5,,
17355,,,
98330,,,
6505,172.5,1.0,
6213,238.0,5.15,
753,290.0,0.0001,
61209,,,
6050,307.0,0.0013,
5363491,100.0,,
103402,,,
6274,,0.0,
10975657,,0.0,
5960,,0.0,
14328,,,
6322,,,
107217,,,
254555,,,
7127,254.722,0.012,
750,,0.0,
61771,77.0,,
157343,,,
5366244,,,
61331,150.0,,
8468,,0.0,
112446,,,
10285,262.0,0.0064,
5780,295.0,,
5610,166.0,,
2214,,,
6137,181.0,0.0,
5862,,0.0,
24203,,,
5950,250.0,0.0,
6140,295.0,0.0,
778574,,,
643731,94.5,,
6931725,,,
3017923,,,
109458,,,
29381,,,
5282109,,,
108313,,,
103212,,,
5371084,238.0,,
16063805,,,
20959,,,
162481,,,
163529,,,
91388,,,
62447,,,
13216,,0.0061,
31210,134.0,,
163617,,,
24191,,,
5367698,298.0,,
1201518,211.0,,
3019017,,,
44152604,,,
107071,,,
14491,118.5,,
61918,220.5,,
21003,,,
76722,,,
163259,,,
61653,166.5,,
9589,229.0,,
679,189.5,0.6,
7095,256.1,0.0089,
1254,215.0,0.0637,
11086,251.0,0.0099,
5961,,0.0,
11569,143.0,,
262,182.0,0.243,
556998,,,
7767,247.222,0.0002,
6287,,0.0,
311,,,
7702,212.5,,
6753,185.0,0.0,
6435882,60.0,,
12506,194.5,,
7476,153.0,0.0064,
163414,,,
8456,268.0,0.0025,
3020082,,,
91978,109.5,,
24473,87.5,,
6106,146.5,0.0,
5365027,96.0,,
5362798,,,
520191,224.0,,
5365909,,,
12327,105.0,,
61659,130.5,,
14434313,,,
10748,334.5,,
94522,,,
7976,135.0,,
62835,94.0,,
61840,110.0,,
109194,,,
3848,,,
5282707,217.0,,
26049,170.0,3.72,
6431015,,,
5281516,261.0,,
6433089,,,
86751,,,
521348,198.0,,
98118,,,
193087,,,
6430892,,,
21363,242.5,,
16666688,,,
6443739,,,
22386,112.222,4.1254,
86733,,,
5315941,,,
3321360,70.5,,
6560,108.5,10.4,
6584,56.889,216.2,
246728,168.5,2.0,
10797,64.444,139.0,
356,125.5,14.1,
11614,106.1,21.7518,
7824,149.0,5.0,
17898,,,
8723,129.0,3.1503,
6386,82.4,40.7,
7997,101.5,35.9,
11529,146.778,2.8502,
7909,116.5,19.9,
8125,121.2,17.4,
8063,102.5,50.0,
6658,101.0,38.5,
11160,114.5,,
12206,118.5,63.0,
11419,165.0,1.0,
12348,149.5,4.8754,
177,21.111,902.0,
61446,250.0,,
6276,137.0,2.2,
6569,79.3,90.6,
7500,136.222,9.6,
12297,136.0,2.49,
8452,130.5,11.4,
440967,166.0,,
18554,92.5,,
7895,105.0,35.4,
7916,97.0,45.0,
10882,144.5,,
7351,148.6,4.33,
11583,127.6,11.6,
10895,66.5,,
31246,144.5,5.2504,
11617,138.5,9.22,
27457,57.0,,
241,80.5,94.8,
261,74.5,111.0,
21057,,,
11747,109.9,20.0267,
82227,155.5,,
7915,88.5,60.37,
8118,142.5,,
9609,91.5,60.2,
69963,,,
5365587,72.0,,
14525,193.0,,
5363233,,,
61808,,,
8093,174.0,1.35,
10104370,,,
5283321,,,
442460,,,
10400,,,
75699,,,
526618,,,
522214,142.0,,
164355,,,
522157,,,
19725,,,
6632,,,
6998,196.5,0.593,
3019960,,,
8077,152.0,4.28,
15380,147.5,,
11176,156.5,,
16058296,,,
18467,60.5,,
11525,170.0,1.5,
23676745,,,
61177,155.5,,
10582,221.5,,
6669,,0.0,
106997,,,
101010,,,
7826,174.0,1.56,
1110,235.0,0.0,
11567,,1.5,
62351,254.0,,
20446,,,
81505,,,
9261,115.5,,
5367807,176.5,,
641294,160.0,,
5280435,203.0,,
107689,,,
14257,196.5,0.412,
7795,179.0,,
5273467,,,
12265,169.5,0.8,
7865,31.5,585.7,
6363,32.389,579.6,
3021997,,,
12401,330.0,0.0,
23617864,,,
7765,103.0,27.6,
121232753,,,
10823,166.0,,
12534,380.222,0.0,
12748,133.5,8.6,
11428,116.0,6.0005,
7284,91.5,47.4,
5369997,,,
8007,77.5,92.9,
11732,113.0,9.15,
85903,,,
11124,79.5,84.04,
162249,,,
7894,96.0,,
24874,63.5,178.0,
1032,140.722,3.53,
31268,87.5,62.7,
15510,41.5,,
14079,220.0,,
5366155,,,
31353,263.0,,
180,56.5,231.0,
11559,,,
7937,144.0,5.65,
1287,,,
12403,356.5,0.0001,
8030,84.0,79.7,
6364,58.5,277.3,
103404,,,
25913,,0.0045,
62580,,,
9256,116.5,,
5320530,300.5,,
85522,50.0,,
6365389,,,
5280934,230.0,0.05,
228769,250.0,,
69885,,,
268475,,,
251531,169.0,,
8025,53.0,200.0,
5144,233.056,0.0706,
65300,233.5,,
62385,187.5,,
527,48.889,317.0,
6850757,,,
11173,156.0,1.0501,
102706,,,
31226,244.5,,
92874,,,
12366,192.5,,
10976,159.0,0.9976,
329983,81.0,,
19602,65.0,,
12367,193.5,,
5368821,,,
8167,126.5,0.0035,
14529,64.0,,
10106,65.0,,
12389,253.722,0.015,
62907,,,
7146,93.0,,
8471,88.9,57.07,
12398,301.778,0.0002,
12257,68.5,138.0,
8073,81.0,82.6,
6558,69.0,138.0,
5283356,115.0,,
12313993,,,
5275520,,,
7852,47.5,310.0,
112491,,,
5284503,,,
13849,,,
11622,262.778,1.0,
8209,263.222,0.0001,
7651,116.0,,
12388,235.5,0.0375,
11251,93.889,52.5,
612,122.0,0.0813,
110923,235.0,,
637195,,,
996,181.75,0.3513,
7344,154.0,3.75,
521238,,,
5364919,138.0,,
5365910,,,
5367460,217.778,,
61098,115.0,,
5283324,,0.59,
5084146,241.0,,
22934582,,,
5281520,99.5,,
11027,200.5,,
12391,270.628,0.0049,
369312,,,
7222,232.0,0.01,
31231,145.0,,
7438,226.5,,
12266,93.0,53.0,
5284421,373.5,,
15448,232.5,,
20928,,,
33166,122.5,,
10402,121.5,,
1549992,,,
11006,286.5,0.0015,
638500,,,
74408,,,
44256573,,,
4100752,,,
10955174,,,
119965,,,
101549,,,
166517,,,
5281535,180.0,,
1201529,,,
80790,,,
5463415,,,
18818,,,
5283363,116.5,,
5752319,,,
2733977,212.0,,
93639,,,
75715,,,
16220109,,,
11735763,,,
16063533,,,
7439,230.5,0.16,
5367681,98.0,,
10975,99.5,,
7283,,,
26289,,,
106746,,,
111416,,,
7361,170.0,0.6,
15219341,,,
156605,,,
18826,,,
61303,293.5,,
70129,,0.06,
5362889,278.0,,
85979,,,
32093,265.5,,
12635160,,,
26068,,,
8364,,,
62539,124.0,,
125468,95.5,0.133,
5364631,108.0,,
20083,180.0,0.24,
65413,,,
11520,,0.74,
17016,226.0,0.035,
8067,120.0,13.8012,
14295,113.5,,
11508,151.5,,
11335,202.0,0.274,
5352461,192.0,,
7147,103.0,,
20861,221.0,,
7249,227.0,0.0356,
61448,162.0,,
107,280.0,,
7938,154.5,,
12209,138.0,6.34,
7802,147.0,1.4026,
30215,133.5,,
26333,200.0,,
11363,104.0,,
17129,71.0,,
81898,,,
16324,142.5,,
9837013,,,
162027,,,
1201521,,,
82229,,,
61812,179.0,,
5352626,,,
62445,193.0,,
33135,90.0,,
576240,270.5,,
5364941,105.0,,
12570,225.0,,
61743,270.0,,
6985,117.5,,
61302,123.5,,
5281163,155.0,,
8185,132.5,,
61814,102.75,,
7662,282.0,,
61020,134.0,5.6255,
460,205.0,0.103,
47167,,,
332,,,
7335,78.056,,
638024,498.5,0.0,
23173,,,
12177,,,
5324489,,,
7633,243.5,,
19707,128.0,0.5,
61235,187.5,,
62003,292.5,,
13576,,,
5321950,,,
6561,64.0,173.0,
125,252.0,0.0008,
4682590,78.0,,
520098,50.0,,
638122,,,
14505,67.0,,
60983,64.0,,
6431148,239.5,,
162409,,,
240925,145.5,,
110977,,,
61634,,,
7353,157.0,,
243783,212.0,,
61124,58.5,,
20499,229.5,,
8834,,,
551316,,,
16331,107.0,,
6885,,,
7958,169.0,1.65,
60979,266.5,,
16330,271.0,,
11039,92.0,,
5273464,,,
61660,91.0,,
61184,130.5,,
12571,133.5,,
5054,278.611,0.0005,
5352899,320.0,,
8050,224.0,0.037,
519539,,,
5354883,,,
61375,,,
20745,,,
61664,,,
61137,185.8,,
24433,303.0,,
61015,180.0,,
7225,,,
11340,214.0,,
7409,204.5,0.1,
12105,199.0,,
8139,267.0,0.0041,
33931,103.0,,
7360,178.5,1.3951,
7775,,,
8138,246.5,,
8655,,,
12988,130.0,20.0,
62144,66.0,,
997,,,
62348,312.5,,
219672,250.5,,
62013,,,
7302,204.5,1.0,
641298,160.5,,
10885,156.9,,
34286,58.5,,
32065,,,
6877,268.0,0.0023,
429065,,,
62592,225.5,,
61311,,,
62024,154.0,,
442495,221.0,0.123,
520326,185.5,,
61450,260.0,,
8361,172.5,0.0,
5362622,,,
62321,221.0,,
13233,106.0,,
519845,220.5,,
61592,196.5,,
4564493,,,
605629,106.5,,
62661,,,
62583,,,
61384,,,
61417,277.0,,
10883,93.5,,
12170,176.0,1.0,
12293,185.5,,
240119,188.0,,
10957,98.0,40.1,
7043,206.0,0.47,
10315,,0.08,
61631,,,
229888,295.5,,
31284,323.0,0.0005,
12041,144.0,,
5366038,,,
335,191.5,0.2475,
28905,,,
12082921,,,
444294,203.889,1.0,
61294,306.5,,
7413,232.5,0.03,
166220,,,
6781,297.778,0.0021,
519786,169.5,,
5355851,,,
6993580,280.0,,
44150680,,,
90817,,,
95392,,,
19844,,,
5365589,159.5,,
21574,67.5,0.08,
68481,246.5,,
6386037,,,
16237,248.0,,
5372195,,,
442343,314.0,,
10409,,,
101363,,,
442482,,,
5363817,127.0,,
5463904,134.0,,
100990,,,
5367719,,,
39914,286.5,,
61403,80.0,,
88792,,,
161960,,,
7822,157.222,2.0027,
10869,,,
64819,,,
15560252,,,
7772,160.0,,
31250,,0.0,
66021,,,
12529,130.5,,
31242,218.5,0.0372,
74279,,,
33637,171.0,1.5,
30249,,,
62571,,,
74901,185.5,,
518810,186.0,,
107098,,,
31229,197.0,,
637523,,,
73555481,,,
31264,123.5,7.5006,
7392,,,
6435840,,,
89802,,,
8052,123.5,,
20508,208.0,,
6438193,,,
85730,,,
174490,,,
108625,,,
6086514,,,
82511,,,
62151,142.0,,
12146,176.0,10.9509,
8078,81.0,97.5083,
8405,242.5,,
77224,,,
86749,,,
5365992,,,
12508,109.5,,
16832,172.5,,
441245,,,
13654,216.5,,
3611,140.0,,
7016,,,
61665,,,
11514,168.5,,
5355254,,,
18686,82.0,,
10873,87.5,,
12044,120.5,,
31227,,,
444683,,,
20748,183.0,,
5365850,,,
3515,153.0,,
5367536,78.0,,
5364519,73.0,,
7465,222.5,,
17623,,,
7936,145.7,5.65,
7757,169.0,0.892,
7170,267.5,,
11613,168.0,,
521869,120.0,,
1712087,,,
62367,,,
7643,91.5,,
6835,,,
7986,211.5,0.0,
10778,208.0,,
5355858,353.0,,
8195,274.444,2.4752,
17000,,,
16296,,,
8400,343.889,1.0,
7562,,,
162239,,,
7055,241.667,0.055,
61967,,,
1001,194.5,0.2325,
6937,224.0,0.02,
33094,,0.16,
7041,260.5,,
7957,176.5,0.21,
7358,146.27,0.9,
11505,217.5,0.053,
8106,152.0,1.2001,
32857,,,
9473,150.5,,
5364532,70.0,,
14511,,,
11332852,,,
12217,168.0,,
107561,,,
6422476,,,
106740,,,
106684,,,
61586,212.0,,
5365982,233.0,,
163263,,,
5366352,,,
12216,195.0,,
12769,,,
61657,66.5,,
12072,,,
16220110,,,
73750,95.5,,
119800,,,
5371802,154.0,,
16678,,,
170977,215.0,,
228588,195.0,,
876,300.5,,
21828,65.0,,
5282724,161.5,,
180122,,,
61047,,,
2724573,,,
78062915,,,
61206,,,
529481,235.5,,
89464,,,
62384,98.5,,
19188,285.0,,
61134,222.0,,
25916,,,
62434,31.5,,
23367,,,
69467,206.5,0.02,
11127402,,,
229387,134.5,,
23623651,260.0,,
522676,260.5,,
5364409,169.0,,
61455,215.0,,
8298,198.0,0.1,
5364778,170.5,,
95294,,,
12578,253.0,,
17586,81.0,,
13663,,,
521246,74.5,,
10817,,,
5367806,,,
82336,,,
61385,110.5,,
19603,209.5,,
8176,88.0,,
101921,,,
95644,,,
287439,223.0,,
62128,165.5,,
5365991,135.0,,
66356,,,
519890,45.0,,
77289,,,
69354,196.0,,
5363291,76.0,,
121790,,,
5352463,91.0,,
62092,,,
3023839,,,
443157,,,
75140,,,
8738,186.0,0.4,
5362583,72.0,,
19137,123.5,,
16582,308.5,,
76674,,,
39801,,,
21265,,,
11982,211.0,,
12729,258.5,,
11576,101.5,,
95539,,,
142266,157.5,,
522677,196.0,,
12344,,,
74915,,,
102993,,,
61296,90.0,,
64678,,,
122941,,,
12230,66.0,,
16846,230.0,,
13016,197.0,,
84559,,,
61410,151.0,,
4047281,120.5,,
5365793,,,
102849,,,
18974564,,,
107073,,,
66282,92.5,,
12530,,,
91339,,,
69415,118.0,,
5273465,,,
5362696,112.0,,
5282184,,,
74791,241.0,,
99818,,,
106743,,,
113640,,,
166400,,,
86680876,,,
8863,252.0,,
3085812,,,
8222,342.722,0.0,
138454964,,,
560255,155.5,,
5281517,,,
43263,185.5,,
17365,,,
12278,133.0,6.9756,
82584,,,
53750858,,,
15435,,,
8791,,,
62105,326.5,,
226486,168.5,,
61516,112.25,,
74786,,,
98492,267.5,,
5352973,125.0,,
17004,237.0,0.025,
569214,,,
5364399,,,
560879,,,
520148,136.0,,
68150,,,
5365891,,,
20995,96.0,,
5352460,105.0,,
31408,235.0,,
228583,179.5,,
57721978,,,
31286,205.2,0.39,
61829,77.0,,
3023838,,,
107074,,,
7989,,,
61183,206.0,,
57357974,,,
5363289,,,
221069,220.5,,
13129857,,,
22227,,,
10877336,,,
141850,,,
79148,,,
57483301,,,
5365872,,,
68960,,,
61261,218.5,,
231325,101.0,,
5463855,,,
88267,,,
101854,,,
16591,197.5,0.375,
5091716,,,
111384,,,
54159794,,,
61030,225.0,,
5375218,102.0,,
578423,245.0,,
61341,130.5,,
78639,,,
105755,,,
5352974,70.0,,
90776,,,
61295,138.0,,
15640305,,,
55250799,,,
78640,,,
80046,,,
61260,,,
69600,,,
107271,,,
5363120,,,
5354238,,,
6438319,,,
61071,143.889,,
5366077,,,
103648,,,
702,78.5,59.3,
8146,202.222,0.1425,
7641,417.0,0.0,
7870,198.0,0.013,
24773,,,
5281,382.778,0.0,
4632,155.0,0.0,
962,100.0,760.0,
5355130,382.0,0.0,
114506,,,
97854,,,
5564,285.0,0.0,
66731260,,,
33960,285.5,,
7584,,,
7528,188.5,70.0,
5463840,,,
7505,190.7,0.7651,
3085817,,,
7667,112.0,0.12,
8133,168.4,0.88,
5385520,,,
7184,156.5,0.0002,
31278,343.0,0.0,
7896,207.5,0.06,
100968,,,
85833,,,
330573,101.0,,
90473619,,,
119831,,,
102120,,,
162002,,,
22336876,,,
105516,,,
103381,,,
5463228,,,
61359,236.5,,
8767,342.0,,
1381163,,,
5463804,,,
9815427,,,
47936,,,
19700,,,
19116,,,
6680,,,
6731,,0.0,
108630,,,
101555,,,
16724,231.0,15.5,
25324,,,
31256,165.0,0.8101,
4685,173.889,1.74,
162248,,,
103826,,,
114530,,,
4943,255.0,,
105595,,,
