,f1_mass_PC1,f7_surface_shape_Mor_PC2,f6_volume_PC1,f4_volume_PC1,f8_surface_shape_RDF_PC1,f5_volume_PC1,f10_geometry_topology_PC1,f9_whim_PC1,f14_spdiam_PC1,f13_p_vsa_logp_PC5
0,-2.286230105668809,-9.578540829263178,-2.3496777631105927,-2.3308953676602107,-12.851814428838598,-2.267295820685302,-25.49786639848688,-2.594450366585835,-2.207576332116123,-0.5855598962955074
1,-1.7852539650181038,-2.814353879298705,-1.8704566995284333,-1.9400705593424952,-13.792121485380664,-1.9745373282945196,-19.648403325131312,-2.579790003686892,-1.4786883848982304,-0.3240153201808415
2,-1.7290645255892072,-1.7690806178637517,-1.7267994182384463,-1.8071310806735876,-11.830932836614322,-1.909752548754564,-23.412682646100755,-2.2516643992934373,-1.4786883848982304,-0.3920527268349674
3,-0.67203546702581,2.575240218942106,-1.13036273614643,-1.3559907179751711,-11.682689367055236,-1.2778555513478012,-15.565215896657538,-2.0573021206034587,0.1451305885128721,-0.2579518474353592
4,-0.6144551998882777,0.8705896691557395,-0.6217014707059813,-0.6330670138504672,-6.5331584004827885,-0.7009274577931225,-8.11494912612652,-0.9986258313596902,-0.1042807917438956,0.332069534710226
5,-1.1702299522592423,-7.302498094941296,-0.8798484258893171,-0.7697307963290269,-6.626392843475081,-0.7848531949244282,-7.147703348001237,-1.815770081525094,-2.724672918367156,-0.4496026844764558
6,-1.4784373724929911,-1.2419861092998317,-1.5141757381507983,-1.713115118649453,-13.046151965721554,-2.06656116286832,-15.96904859429486,-2.285238355009532,0.0656479186273994,-1.1494242936427357
7,-1.1140405128303468,-6.251983602300589,-0.7361911445993299,-0.6367913176601192,-2.900998508821843,-0.7200684153844731,-3.544793249731713,-1.533493663345464,-2.724672918367156,-0.5176584425637549
8,-0.5048579764477571,2.554384976626473,-1.0643948764269289,-1.1413890655287793,-9.63127328088867,-1.118592968312078,-16.360402896920437,-0.96778369722144,0.0055104009292561,0.5796211420016031
9,1.1669169293327737,14.091065175329543,0.6633088215160317,0.5564392882809645,2.432029929598054,0.4477753945801023,1.7528784078239354,1.3502927608736737,0.7758895731395941,1.0533464622846545
10,-0.4458868816015885,1.8514837194302085,-0.1910022212976697,-0.437041462113191,-3.3256855776153404,-0.4776162858940339,-1.6780387755446289,-0.0334447588887723,1.4711233759028834,-0.7213630501488447
11,-1.7290645255892072,-0.6117886795850905,-1.7267994182384463,-1.8071310806735876,-12.63299891878994,-1.909752548754564,-21.4780863955335,-2.453298092194807,-1.4089721230617498,-0.3606863264596798
12,-0.169390333124742,3.846186414917604,-0.4270690250872884,-0.4515753306386613,-4.855727715521229,-0.4852235895521348,-5.3355190727962905,0.1868493737040928,0.2616357921070702,-0.3839632975513826
13,-0.5048579764477571,1.552893848696325,-1.0643948764269289,-1.1413890655287793,-9.795104810356188,-1.118592968312078,-16.10365394030876,-1.4746206874522163,0.1749147442141755,0.4754232767308614
14,-1.3387982705459318,-0.1581375258046405,-1.3105476752976284,-1.3714329532834832,-9.9351520599174,-1.4852159252540984,-15.908821916640717,-1.81632697099985,-1.1193102349553872,-0.2191707763747359
15,-1.950762462345793,-10.24279846602174,-1.7120793173093014,-1.641081632770093,-10.973149239979875,-1.6339264419253594,-15.727904902891607,-2.570659725892526,-3.3971879493217965,-0.795415599779504
16,1.0000176042964477,5.636119178114835,0.4566822195847028,0.2654894077367125,-0.818159664858202,0.2762429669345383,1.6752732449626613,1.634912400764379,2.485218951367943,0.6816100530339777
17,1.504053565906152,1.8746663666786512,1.524979914794306,1.759889020529019,12.21748908545013,1.848500855239442,16.3936707200217,3.2739621913456647,1.5489487498847558,0.6352827943768056
18,-0.333508002743796,-0.2645512689907805,0.0963123412823056,0.2345595187809468,2.1967753673262567,0.1290048316164578,4.736143079232981,-0.0553039561706887,0.3503885365974323,0.2095338235541679
19,-0.4458868816015885,-5.241618348786266,-0.1910022212976697,-0.0313648568960114,0.9495887334165112,-0.000564727463453,1.2900761022422698,-0.1333326630515866,0.3503885365974323,-0.3563606379151262
20,-0.9471411877940208,0.5233865025586592,-0.5295645426680005,-0.7514726239939051,-6.982204470269321,-0.7581049336749774,-7.246262210420514,-0.5085198752477567,1.9644023036259093,-1.7169602926437284
21,0.7797104952484979,1.864381302570189,0.836133710202658,0.8186393601482708,5.284343952668593,0.8256866085631759,9.7359691788603,0.9974496720561876,1.560253704855998,0.3964581909839667
22,-1.6180764744400506,-5.86155604227635,-1.8044888398089325,-1.928307209504693,-12.184003792009491,-1.786317911979573,-21.450777873315136,-2.1240956843537,0.2347731460489724,-0.5457035561159461
23,-1.088171117449716,-0.4801561440633428,-1.0979239952099813,-1.2774624095984914,-11.22657868882203,-1.642024539367854,-18.2295221719321,-1.5990355917845456,0.5949355435251396,-1.0298467597406424
24,1.0562070437253444,8.271419101711368,0.6003395008746905,0.6012671890142106,3.493592089634762,0.5795535256897846,2.2670464362676768,0.8143869133110422,0.998244525916224,1.2803112909003975
25,-0.4458868816015885,-4.9610718565713245,-0.1910022212976697,-0.2342031595046012,-2.2373997051320065,-0.2390905066787435,-0.9129743492746164,-0.7163416643697849,0.2226083476212763,-0.1795381358263918
26,2.70461604400079,2.115852550626717,0.2497830231917226,0.6838377295745367,-3.610093634250645,0.6345224295418675,-6.382248255715636,0.747741295201549,1.5565374528295686,-0.0710304113917987
27,-0.3365678237027948,9.319016238792145,-0.4927642903451384,-0.6661315647459117,-7.944441185581895,-0.9119687850823712,-12.031185409034505,-1.3917356846742028,0.4398628244789769,-0.2809387431710302
28,-0.0024910080884161,8.720214790334005,-0.2201698286943084,-0.3634183343638575,-6.110354753241361,-0.5522169411218611,-10.720690988308672,-1.1552988616108515,0.7332345673426407,0.3168646479861936
29,0.0536984313404804,11.282562237332623,-0.0765125474043211,-0.2304788556949498,-5.188167375495171,-0.4874321615819061,-5.524051250993807,-0.6886316274365623,0.6891782511909955,-0.1854409674036853
