,CID,CAS,Name,Imax,Ci,Di
87,7778,105-85-1 ,citronellyl formate ,54.74,0.97,0.65
88,60985,97-89-2 ,citronellyl isobutyrate ,24.9,0.65,0.44
89,323,91-64-5 ,coumarin ,26.79,0.68,0.77
90,326,122-03-2 ,cumin aldehyde ,49.53,1.29,0.47
91,517827,103-95-7 ,cyclamen aldehyde ,29.71,-0.7,0.44
92,101330,25485-88-5 ,cyclohexyl salicylate ,10.07,-1.09,0.51
93,6660,80-71-7 ,cyclotene ,46.43,-0.59,0.32
94,5366074,23726-93-4 ,damascenone ,55.82,-1.5,0.44
95,8175,112-31-2 ,decanal ,76.62,-0.46,0.74
96,8174,112-30-1 ,decanol ,14.99,-0.54,0.5
97,118134,34131-98-1 ,decatone ,22.65,-0.5,0.14
98,25612,13019-22-2 ,decenol ,19.69,-0.98,0.37
99,5365916,57378-68-4 ,delta-damascone ,50.03,0.6,0.72
100,12810,705-86-2 ,delta-decalactone ,40.11,-0.91,0.1
101,12844,713-95-1 ,delta-dodecalactone ,27.46,-1.83,0.35
102,18698,3301-94-8 ,delta-nonalactone ,35.68,0.01,0.19
103,61204,710-04-3 ,delta-undecalactone ,32.98,-1.23,0.13
104,7943,108-59-8 ,diethyl malonate ,35.24,1.3,0.36
105,519382,17283-81-7 ,dihydro beta-ionone ,29.83,0.64,0.45
106,17739,2785-87-7 ,dihydro eugenol ,34.34,1.7,0.17
107,62378,1128-08-1 ,dihydro jasmone ,39.88,-0.06,0.44
108,29096,18479-58-8 ,dihydro myrcenol ,45.47,0.88,0.83
109,10353,58985-02-7 ,dihydro terpineol ,44.64,1.54,0.46
110,9024,151-05-3 ,dimethy benzyl carbinyl acetate ,34.97,1.21,0.45
111,7531,100-86-7 ,dimethyl benzyl carbinol ,19.81,1.34,0.39
112,24915,10094-34-5 ,dimethyl benzyl carbinyl butyrate ,32.43,0.47,0.3
113,102844,2550-11-0 ,dimethyl octenone ,42.75,1.58,0.49
114,7632,103-05-9 ,dimethyl phenyl ethyl carbinol ,35.47,0.31,0.47
115,83268,13254-34-7 ,dimetol ,42.89,0.76,0.58
116,7583,101-84-8,diphenyl oxide ,40.0,0.96,0.42
117,8194,112-54-9 ,dodecanal ,50.27,0.94,0.29
118,92606,56973-85-4 ,dynascone ,54.96,-0.06,0.97
119,24020,7452-79-1 ,ethyl 2-methyl butyrate ,77.55,0.63,1.21
120,8857,141-78-6 ,ethyl acetate ,35.06,2.95,0.35
121,8868,141-97-9 ,ethyl acetoacetate ,44.94,1.36,0.45
122,7165,93-89-0 ,ethyl benzoate ,49.9,0.16,0.51
123,7762,105-54-4 ,ethyl butyrate ,81.16,2.62,1.2
124,637758,4192-77-2 ,ethyl cinnamate ,26.9,-1.52,0.56
125,8048,110-38-3 ,ethyl decanoate ,27.8,0.8,0.48
126,7797,106-30-9 ,ethyl heptanoate ,50.58,1.7,0.7
127,31265,123-66-0 ,ethyl hexanoate ,71.87,2.67,0.88
128,7342,97-62-1 ,ethyl isobutyrate ,71.42,1.66,1.03
129,7945,108-64-5 ,ethyl isovalerate ,65.79,0.66,1.06
130,6433547,10339-55-6 ,ethyl linalool ,45.38,0.61,0.69
131,21059,4940-11-8,ethyl maltol,49.29,-1.59,0.61
132,31251,123-29-5,ethyl nonanoate,33.54,1.48,0.18
133,7799,106-32-1,ethyl octanoate,45.22,1.27,0.56
134,8469,121-39-1 ,ethyl phenyl glycidate ,30.43,-0.65,0.09
135,7749,105-37-3 ,ethyl propionate ,73.76,3.26,0.72
136,118201,35044-59-8,ethyl safranate,51.12,1.22,0.58
137,8365,118-61-6,ethyl salicylate,45.06,-0.58,0.48
138,8467,121-32-4 ,ethyl vanillin ,43.45,-1.06,0.45
139,3314,97-53-0 ,eugenol ,34.29,-0.76,0.59
140,15406,1632-73-1 ,fenchyl alcohol ,52.15,1.04,0.42
141,106748,67634-25-7 ,floralate ,40.01,0.56,0.49
142,109418,68480-15-9 ,floralol ,29.91,1.34,0.43
143,105512,67634-14-4 ,floralozone ,42.47,0.33,0.36
144,105664,67801-64-3 ,floramat ,26.92,0.37,0.55
145,157342,80623-07-0,fruitate ,44.72,1.18,0.69
146,107381,5182-36-5,floropal,41.51,0.22,0.48
147,3017432,63500-71-0,florosa,35.09,0.73,0.53
148,20739,4621-04-9,folrosia,49.73,0.98,0.46
149,80865,6413-10-1,fructone,42.03,1.05,0.63
150,61334,4166-20-5 ,furaneol ,48.78,-0.94,0.56
151,91497,1222-05-5 ,galaxolide ,16.67,1.14,0.56
152,12813,706-14-9 ,gamma-decalactone ,25.69,-0.83,0.24
153,16821,2305-05-7,gamma-dodecalactone ,28.3,1.18,0.14
154,12756,695-06-7 ,gamma-hexalactone ,51.21,1.71,0.53
155,7710,104-61-0 ,gamma-nonalactone ,34.6,-0.09,0.45
156,7704,104-50-7 ,gamma-octanoic lactone ,40.87,1.09,0.27
157,7461,99-85-4 ,gamma-terpinene ,43.25,1.18,0.55
158,7714,104-67-6 ,gamma-undecalactone ,33.76,-0.52,0.77
159,7921,108-29-2 ,gamma-valerolactone ,30.71,1.63,0.38
160,637566,106-24-1 ,geraniol ,29.88,0.17,0.35
161,1549026,105-87-3 ,geranyl acetate ,25.52,-0.43,0.35
162,5355856,106-29-6  ,geranyl butyrate ,38.1,-0.61,0.26
163,6437428,68133-79-9 ,geranyl cyclopentanone ,29.58,-1.96,0.45
164,111418,68901-32-6 ,glycolierral ,19.89,-0.16,0.44
165,3782139,3720-16-9 ,gravenone ,36.42,0.3,0.23
166,240122,134-28-1 ,guaiyl acetate ,14.76,-0.9,0.35
167,64805,1205-17-0 ,helional ,23.06,-1.91,0.47
168,8438,120-57-0 ,heliotropine ,29.56,0.23,0.41
169,62098,55418-52-5 ,heliotropyl acetone ,8.37,-1.98,0.47
170,16063567,141773-73-1 ,helvetolide ,7.05,-0.75,0.22
171,8130,111-71-7 ,heptanal ,60.55,1.89,0.82
172,8129,111-70-6 ,heptanol ,30.5,0.6,0.33
173,106714,67583-77-1 ,herbavert ,23.26,3.4,0.64
174,6184,66-25-1 ,hexanal ,80.92,1.16,0.88
175,8103,111-27-3 ,hexanol ,45.98,1.66,0.73
176,8908,142-92-7 ,hexyl acetate ,48.92,1.66,0.84
177,17525,2639-63-6 ,hexyl butyrate ,45.58,1.24,0.56
178,22629,6259-76-3 ,hexyl salicylate ,7.79,-1.72,0.68
179,7888,107-75-5,hydroxy citronellal ,23.94,-0.42,0.32
180,249494,107-74-4,hydroxy citronellol ,8.53,-1.61,0.14
181,87453,18096-62-3 ,indoflor ,25.86,-0.19,0.08
182,798,120-72-9 ,indole ,43.59,-0.19,0.54
183,102916,2983-37-1 ,irotyl ,38.22,1.65,0.5
184,108242,54464-57-2 ,ISO E super ,29.16,-0.18,0.43
185,31276,123-92-2 ,isoamyl acetate ,84.97,3.07,0.9
186,31260,123-51-3 ,isoamyl alcohol ,48.56,1.42,0.78
187,6874,87-20-7 ,isoamyl salicylate ,26.58,-0.2,0.32
188,6321405,124-76-5 ,isoborneol ,44.1,-0.78,0.61
189,637531,125-12-2 ,isobornyl acetate ,30.17,0.53,0.51
190,8038,110-19-0 ,isobutyl acetate ,71.78,2.89,0.75
191,16204527,1335-66-6 ,isocyclocitral ,59.65,1.38,0.66
192,6438067,39872-57-6 ,isodamascone ,33.57,1.02,0.44
193,853433,97-54-1 ,isoeugenol ,39.34,-0.54,0.31
194,90978,23787-90-8 ,isolongifolanone ,31.42,-0.34,0.51
195,6986,491-07-6 ,isomenthone ,45.96,1.27,0.68
196,42745,40379-24-6 ,isononyl acetate ,30.08,2.05,0.38
197,109116,61699-38-5 ,jasmacyclat ,38.94,0.63,0.33
198,234237,1322-17-4 ,Jasmonyl ,41.77,-0.6,0.37
199,16070752,117933-89-8,karanal,48.88,-1.32,0.5
200,118292,36306-87-3,kephalis,26.06,-0.21,0.39
201,8193,112-53-8 ,lauryl alcohol ,10.53,-1.15,0.7
202,439570,6485-40-1 ,l-carvone ,48.78,1.31,0.69
203,5365699,67633-96-9 ,liffarome ,54.43,0.87,0.57
204,228987,80-54-6 ,lilial ,35.47,-0.67,0.26
206,522514,7392-19-0,limetol,43.19,2.39,0.96
207,22311,138-86-3,limonene,52.62,1.71,0.5
208,6549,78-70-6 ,linalool ,50.63,0.08,0.65
209,22310,60047-17-8 ,linalool oxide ,40.96,1.51,0.6
210,8294,115-95-7 ,linalyl acetate ,43.52,1.79,0.35
211,61040,115-99-1,linalyl formate ,39.82,0.3,0.62
212,6532,78-35-3 ,linalyl isobutyrate ,34.29,1.02,0.33
213,16666,2216-51-5 ,l-menthol ,33.06,0.66,0.46
214,26447,14073-97-3 ,l-menthone ,46.69,1.27,0.6
215,91604,31906-04-4,lyral,25.22,2.18,0.09
216,8369,118-71-8,maltol,37.51,-1.32,0.41
217,5283361,20407-84-5 ,mandarine aldehyde ,47.26,1.39,0.38
218,62902,39255-32-8 ,manzanate ,70.38,1.26,1.22
219,61016,106-72-9 ,melonal ,45.92,-0.64,0.95
220,3017783,67707-75-9 ,melusat ,39.7,1.87,0.59
221,6631,58985-18-5 ,menthanyl acetate ,48.48,1.48,0.75
222,8499,121-98-2 ,methyl anisate ,17.84,0.64,0.12
223,8635,134-20-3 ,methyl anthranilate ,30.49,1.36,0.59
224,7150,93-58-3 ,methyl benzoate ,30.42,1.56,0.48
225,7122,93-08-3 ,methyl beta-naphthyl ketone ,37.39,-1.23,0.73
226,12180,623-42-7 ,methyl butyrate ,61.9,1.27,0.89
227,637520,103-26-4 ,methyl cinnamate ,39.82,0.01,0.44
228,102861,24851-98-7 ,methyl dihydrojasmonate ,15.83,-0.7,0.37
229,5372174,127-51-5 ,methyl ionone-gamma ,45.02,0.26,0.63
230,637776,93-16-3 ,methyl isoeugenol ,37.97,-1.75,0.44
231,8163,112-12-9 ,methyl nonyl ketone ,40.05,0.29,0.38
232,8137,111-80-8 ,methyl octine carbonate ,51.9,-0.83,0.61
233,4133,119-36-8 ,methyl salicylate ,54.43,1.71,0.73
234,57353762,82356-51-2 ,muscenone delta ,12.56,-0.72,0.73
235,10947,541-91-3 ,muscone ,2.9,-1.71,0.37
236,93199,37677-14-8 ,myrac aldehyde ,34.47,-0.18,0.27
237,31253,123-35-3 ,myrcene ,49.14,1.05,0.8
238,14235,1118-39-4 ,myrcenyl acetate ,34.34,1.46,0.49
239,643820,106-25-2 ,nerol ,29.66,0.68,0.52
240,5284507,7212-44-4 ,nerolidol ,39.68,-0.88,0.49
241,7129,93-18-5 ,nerolin bromelia ,43.31,-0.1,0.55
242,7119,93-04-9 ,nerolin yara yara ,34.08,-0.1,0.31
243,1549025,141-12-8,neryl acetate ,29.85,-0.08,0.4
244,31289,124-19-6,nonanal ,52.35,1.35,0.82
245,8914,143-08-8 ,nonanol ,29.81,1.18,0.34
246,1268142,4674-50-4 ,nootkatone ,27.13,-2.24,0.36
247,929336,128-51-8 ,nopyl acetate ,24.1,1.3,0.38
248,116699,70788-30-6 ,norlimbanol ,23.3,-0.46,0.75
249,18756,13877-91-3 ,ocimene ,46.66,2.22,0.57
250,20487,4430-31-3 ,octahydrocoumarin ,29.65,-0.54,0.49
251,454,124-13-0 ,octanal ,78.17,1.33,1.13
252,957,111-87-5 ,octanol ,40.11,0.6,0.51
253,8164,112-14-1 ,octyl acetate ,42.69,1.77,0.52
254,62334,88-41-5 ,o-tert-butylcyclohexyl acetate ,30.91,1.21,0.44
255,2879,106-44-5 ,p-cresol ,51.68,-0.19,0.63
256,8797,140-39-6 ,p-cresyl acetate ,35.62,0.95,0.68
257,7731,104-93-8 ,p-cresyl methyl ether ,55.95,2.3,0.84
258,7463,99-87-6 ,p-cymene ,53.33,1.61,0.51
259,235414,106-02-5,pentalide,6.29,-1.36,0.18
260,163588,90397-38-9,peranat,31.66,1.65,0.29
261,16441,2111-75-3 ,perillaldehyde ,56.27,0.93,0.56
262,61005,103-60-6,phenoxy ethyl isobutyrate,28.83,-0.47,0.21
263,19089,3558-60-9,phenyl ethyl methyl ether,50.53,1.26,0.79
264,108312,55066-48-3 ,phenyl hexanol ,28.72,-0.72,0.7
265,60995,101-48-4 ,phenylacetaldehyde dimethyl acetal ,41.82,0.26,0.58
266,7654,103-45-7 ,phenylethyl acetate ,38.38,1.35,0.57
267,6054,60-12-8 ,phenylethyl alcohol ,20.15,0.05,0.58
268,7655,103-48-0 ,phenylethyl isobutyrate ,37.51,1.1,0.45
269,31225,122-70-3 ,phenylethyl propionate ,34.3,0.87,0.32
270,7459,99-82-1 ,p-menthane ,28.99,3.34,0.5
271,160641,2511-00-4 ,poirenate ,38.02,-0.38,0.4
272,95560,2109-22-0 ,pollenal ?,60.08,1.17,0.63
273,14489,1191-16-8 ,prenyl acetate ,72.19,1.94,0.7
274,7770,105-66-8 ,propyl butyrate ,58.95,2.57,0.82
275,7803,106-36-5,propyl propionate ,53.79,2.74,0.66
276,7391,98-52-2 ,p-tert-butylcyclohexanol ,11.41,0.46,0.7
277,36081,32210-23-4 ,p-tert-butylcyclohexyl acetate ,39.71,1.3,0.63
278,7725,104-87-0 ,p-tolyl aldehyde ,56.18,1.4,0.79
279,21648,5471-51-2 ,raspberry ketone ,21.91,0.52,0.35
280,113514,82461-14-1 ,rhubafuran ,41.03,0.84,0.51
281,27866,16409-43-1 ,rose oxide ,50.32,1.26,0.69
282,7007,90-17-5,rosephenone,7.79,-2.29,0.3
283,108443,60335-71-9,rosyrane,43.92,1.12,0.66
284,61041,116-26-7 ,safranal ,48.97,0.29,0.71
285,119897,28219-60-5 ,sandalmysore core ,18.12,-0.19,0.31
286,6736,83-34-1 ,skatole ,29.64,-2.26,0.35
287,62341,93-92-5 ,styrallyl acetate ,38.9,1.86,0.45
288,8432,120-45-6 ,styrallyl propionate ,40.98,1.37,0.41
289,110914,6658-48-6 ,suzaral ,26.79,-0.96,0.37
290,5325830,20126-76-5 ,terpinene-4-ol ,39.89,1.87,0.44
292,11463,586-62-9 ,terpinolene ,41.83,1.08,0.68
293,111037,80-26-2 ,terpinyl acetate ,40.69,0.09,0.5
294,19871663,1247790-47-1 ,terpirosa ,36.61,1.48,0.66
295,7792,1333-49-9 ,tetrahydrogeraniol ,35.28,-0.21,0.32
296,6548,78-69-3 ,tetrahydrolinalool ,44.84,0.08,0.54
297,89440,21145-77-7 ,tonalide ,13.89,-0.66,0.58
298,5283345,3913-81-3 ,trans-2-decenal ,20.82,1.39,0.76
299,5318042,928-95-0 ,trans-2-hexen-1-ol ,51.49,1.74,0.68
300,5281168,6728-26-3 ,trans-2-hexenal ,70.22,1.3,0.7
301,2733294,2497-18-9 ,trans-2-hexenyl acetate ,48.31,1.44,0.44
302,5702654,65405-70-1 ,trans-4-decenal ,55.22,0.11,0.8
303,110655,5413-60-5 ,tricyclodecenyl acetate ,41.15,0.71,0.54
304,44153588,113889-23-9 ,tricyclodecenyl butyrate ,24.15,-0.51,0.11
305,106745,67634-20-2 ,tricyclodecenyl isobutyrate ,30.73,0.21,0.59
306,86579,17511-60-3 ,tricyclodecenyl propionate ,31.74,0.06,0.61
307,93375,68039-49-6  ,triplal ,73.42,1.4,0.88
308,166523,80480-24-6 ,troenan ,25.54,1.71,0.36
309,8186,112-44-7 ,undecanal ,35.68,0.41,0.19
310,163336,81782-77-6 ,undecavertol ,61.49,0.41,0.72
311,9855795,4630-07-3,valencene ,27.03,0.96,0.28
312,1183,121-33-5 ,vanillin ,39.02,-1.81,0.0
313,5463762,87731-18-8 ,violiff ,43.25,0.61,0.44
